"Avg_Slope","K_final","MeanSlope30m","PercentForestedLand","MEAN","PM_rank","Culvert_Count","Surface","StreamCros","HYDROGROUP","PARENT","Mean_TopoConvergence_50m","damaged"
3.33606536,0.49,8.656466306,0.3,6.08570618,3,1,"Unpaved","No","C/D","DT",6.8983205733913,"No"
4.43966837,0.32,8.261372855,0.095238095,6.142727309,5,0,"Unpaved","No","B","GT",6.63114389896393,"No"
3.19182963,0.32,8.545257334,0.157894737,6.195055336,5,0,"Unpaved","No","B","GT",6.16620303852723,"No"
1.72604757,0.55,8.384331149,0.285714286,6.240431596,5,1,"Unpaved","No","C","GT",6.26979957927357,"No"
1.57523856,0.32,8.644549806,0.105263158,6.289111936,5,1,"Unpaved","No","B","GT",5.63626972519525,"No"
3.26083008,0.32,10.24765337,0.227272727,6.345060807,5,0,"Unpaved","No","B","GT",5.6906694483757,"No"
2.62877763,0.32,10.96751073,0.1,6.403496175,5,2,"Unpaved","Yes","B","GT",6.57482733249664,"No"
1.41129641,0.32,10.56667153,0.05,6.462926588,5,1,"Unpaved","No","B","GT",6.70403500122599,"No"
1.61248131,0.55,9.556027972,0.470588235,6.515310257,7,1,"Unpaved","No","A","A",6.78501719623417,"No"
8.59178362,0.55,8.977651329,0.571428571,5.880021726,5,0,"Paved","No","B","GT",6.35280318856239,"No"
7.98102991,0.32,8.210290054,0.210526316,5.518225611,5,0,"Paved","No","B","GT",5.5282090745791,"No"
7.04121466,0.32,10.65268624,0.095238095,5.570746996,5,0,"Paved","No","B","GT",5.53501043558121,"No"
8.86434177,0.32,9.244920822,0,5.622455539,5,1,"Paved","No","B","GT",5.67044622593738,"No"
7.36207491,0.32,11.37755057,0.55,6.557402289,5,2,"Paved","Yes","B","GT",6.16770585928813,"No"
13.57348359,0.32,12.44001341,0.6,6.578685486,5,0,"Paved","No","B","GT",5.61467875820575,"No"
13.70024365,0.32,11.98209825,0.571428571,6.602733117,5,1,"Paved","No","B","GT",5.47949370917152,"No"
8.60432902,0.32,11.94094787,0.2,6.627771044,5,1,"Paved","No","B","GT",6.1849600377709,"No"
11.0327385,0.55,7.591273485,0,5.897600251,5,0,"Paved","No","B","GT",5.82876160168888,"No"
8.62895278,0.32,6.576189814,0,5.909015304,5,0,"Paved","No","B","GT",5.69722063779831,"No"
6.43290806,0.32,6.334499836,0,5.915910355,5,1,"Paved","No","B","GT",6.58142105900511,"No"
7.45612536,0.32,7.394652541,0,5.928771728,5,1,"Paved","No","B","GT",6.09498625643113,"No"
5.17544399,0.32,8.228717379,0,5.947271207,5,1,"Paved","No","B","GT",6.42618431226172,"No"
6.13304528,0.32,11.75637305,0.05,5.970095478,5,0,"Paved","No","B","GT",6.81170402632819,"No"
3.65334622,0.32,12.19189087,0.111111111,5.994504148,5,0,"Paved","No","B","GT",7.08165821884618,"No"
1.70893077,0.49,10.7135304,0.142857143,6.021636836,3,1,"Paved","No","C/D","DT",7.04855725316718,"No"
3.88632047,0.55,6.838853534,0.157894737,5.674477167,5,1,"Paved","Yes","C","GT",6.13959667706254,"No"
7.48326702,0.32,13.29633056,0.55,5.790312535,5,0,"Paved","No","B","GT",5.48290132753777,"No"
5.43383387,0.32,6.519284943,0.4,5.813956396,5,1,"Paved","No","B","GT",6.98621471881867,"No"
3.05906595,0.32,6.030877211,0.523809524,5.842085636,5,0,"Paved","No","B","GT",6.19670575857163,"No"
1.37495519,0.32,8.391862305,0.578947368,5.859673066,5,2,"Paved","No","B","GT",6.52468872551966,"No"
3.78291822,0.32,9.380955466,0.6,5.874885768,5,0,"Paved","No","B","GT",5.55673838369917,"No"
2.54099422,0.32,5.112039798,0.772727273,5.902813536,5,0,"Paved","No","B","GT",6.04272288505477,"No"
2.5049657,0.32,3.533480869,0.611111111,5.929305035,5,0,"Paved","No","B","GT",6.59040305049149,"No"
1.35881366,0.55,5.294820545,0.578947368,5.951497668,5,0,"Paved","No","C","GT",6.70782213794942,"No"
2.54959929,0.55,7.186395896,0.25,5.96889829,5,0,"Paved","No","C","GT",6.4371218085289,"No"
1.5135952,0.55,6.899871429,0.210526316,5.980282313,5,0,"Paved","No","C","GT",6.17141078948975,"No"
7.94163783,0.55,12.40863345,0.523809524,5.721445996,5,0,"Paved","No","B","GT",6.17329668035411,"No"
2.11100272,0.55,6.131593835,0.05,5.986192507,5,0,"Paved","No","C","GT",6.19769301706431,"No"
6.60784806,0.55,6.8899113,0,5.995500033,5,0,"Paved","No","C","GT",5.70203198671341,"No"
6.85176136,0.55,5.420936857,0,6.007635406,5,0,"Paved","No","C","GT",6.35209405301797,"No"
5.43134685,0.55,4.753859806,0,6.022967315,5,0,"Paved","No","C","GT",6.51815494981784,"No"
